ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0002004441-24-000001	101	AdvisorFinder, LLC	Jason Friedman	Jason Friedman	President and CEO	2024-12-31
0001564079-24-000004	101	Cytrellis Biosystems, Inc.	/s/ John McDonough	John McDonough	Treasurer and Secretary	2024-12-31
0002018562-24-000036	101	USEDC 2024 B Drilling Fund LP	/s/ Matthew P. Iak	Matthew P. Iak	Executive Vice President of Managing General Partner	2024-12-31
0002045788-24-000001	101	KA-1118 Fund III, a series of Empath Ventures, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0001315863-24-000895	101	Tacora Capital II, LP	/s/ Jonathan Marmolejos	Jonathan Marmolejos	COO of the General Partner of the Issuer	2024-12-31
0002049512-24-000001	101	Balerion Space Ventures Fund II, L.P.	/s/ Philip Scully	Philip Scully	Sole Member of the General Partner of the Issuer	2024-12-31
0002006976-24-000001	101	OT-0304 Fund I, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002005473-24-000001	101	RANDOLPH STREET INVESTMENT PARTNERS, L.P. - 2024 DIF	Ted H. Zook	Ted H. Zook	Manager, Randolph Street Investment Management, LLC, the GP	2024-12-31
0002045676-24-000002	101	Rerail-HY-1017 Fund I, a series of AngelList Funds 2024, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002043638-24-000002	101	WO-1029 Fund III, a series of Nelstone Ventures, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050450-24-000001	101	Effortless Trading Inc	Omar Abdelaziz	Omar Abdelaziz	President	2024-12-31
0002043145-24-000002	101	TY-1029 Fund II, a series of AX-RN-Funds, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002047936-24-000005	101	Brookfield Real Estate Insurance Dedicated Fund Series Interests of the SALI Multi-Series Fund, L.P.	/s/ Cameron Vail	Cameron Vail	Managing Director of the General Partner	2024-12-31
0002050170-24-000001	101	HGI Opportunity Fund XIX, LP	Christopher R. Gruszczynski	Christopher R. Gruszczynski	Vice President	2024-12-31
0002050094-24-000001	101	Globespan SPV G, L.P.	/s/ Andrew P. Goldfarb	Andrew P. Goldfarb	Member of the GP of the Issuer's General Partner	2024-12-31
0001954462-24-000001	101	ONCAP V LP	/s/ David Copeland	David Copeland	Director of General Partner of General Partner of Issuer	2024-12-31
0002018562-24-000035	101	USEDC 2024 B Drilling Fund LP	/s/ Matthew P. Iak	Matthew P. Iak	Executive Vice President of Managing General Partner	2024-12-31
0001880343-24-000003	101	Fresh Vine Wine, Inc.	/s/ Michael Pruitt	Michael Pruitt	Chief Executive Officer	2024-12-30
0002006769-24-000002	101	BGA Horizon Fund, LLC - Stone Ridge Series	Daniel Burns	Daniel Burns	CFO of Battery Global Advisors, LLC, Manager of the Issuer	2024-12-31
0002050510-24-000001	101	Fractal Rocky Mountains Capital, LP	Chun Cao	Chun Cao	Managing Member of the Issuer's General Partner	2024-12-31
0002041251-24-000001	101	DD Cloverdale, LLC	Simon Miller	Simon Miller	President	2024-12-31
0002050247-24-000002	101	HA-1118 Fund IV, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002049342-24-000001	101	WI Parkview Townhomes LLC	Joel Worcester by TSH, POA	Joel Worcester	Manager of Worcester Investments, LLC, Manager of Issuer	2024-12-31
0001223895-24-000002	101	B R A S S PARTNERSHIP IN COMMENDAM	/s/ Meagan O. Davis	Meagan O. Davis	Attorney for Issuer	2024-12-31
0002050077-24-000001	101	Cynosure Partners III Offshore, LP	/s/ Keith Taylor	Keith Taylor	Managing Director of Manager of General Partner of Issuer	2024-12-31
0002050110-24-000002	101	HA-0624 Fund I, a series of Andrew Tan Investments, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050109-24-000001	101	MA-0321 Fund I, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050116-24-000002	101	CY-09181 Fund I, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0001760157-24-000001	101	Francis Medical, Inc.	/s/ Michael Kujak	Michael Kujak	President and CEO	2024-12-31
0002026212-24-000003	101	Agile GXP Technologies, Inc.	John C. Spohn	John C. Spohn	President	2024-12-31
0002050113-24-000002	101	BO-1028 Fund I, a series of Riverside Ventures, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050112-24-000001	101	FI-1028 Fund II, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0001875606-24-000002	101	Phoenix Tailings, Inc.	Nicholas William Myers	/s/ Nicholas William Myers	Chief Executive Officer	2024-12-31
0001493152-24-052664	101	Sidus Space Inc.	/s/ Carol Craig	Carol Craig	Chief Executive Officer	2024-12-31
0002049481-24-000001	101	1920 MHC H, LLC	Leonardo Young	Leonardo Young	Manager	2024-12-31
0002036232-24-000002	101	PI-0724 Fund I, a series of AX-WiEs-Funds-I, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002047936-24-000004	101	Blue Owl Direct Lending Insurance Dedicated Fund Series Interests of the SALI Multi-Series Fund, L.P.	/s/ Cameron Vail	Cameron Vail	Managing Director of the General Partner	2024-12-31
0001991599-24-000001	101	AB-0823 Fund I, a series of Middle Cove Funds, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002037558-24-000008	101	Kamal Ravikant Capital, LP - E1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-12-31
0002037558-24-000008	102	Kamal Ravikant Capital QP, LP - E1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-12-31
0001956491-24-000001	101	ZICO Rising, Inc.	Alan George	Alan George	Chief Financial Officer	2024-12-31
0002049472-24-000001	101	Navitas Capital Co-Invest III-A, L.P.	/s/ Travis Putnam	Travis Putnam	Managing Director of the General Partner of the Issuer	2024-12-31
0002044975-24-000001	101	GK-1107 Fund I, a series of Cinneamhain Ventures, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0000929638-24-004393	101	U.S. Cities Retail Fund LP	/s/ Maria McHugh	Maria McHugh	AVP	2024-12-31
0002050445-24-000001	101	Deposely, Inc.	Mitchell Kossoris	Mitchell Kossoris	Co-Founder and Chief Executive Officer	2024-12-31
0002037660-24-000004	102	Davidovs Venture Capital, LP - D1 QP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-12-31
0002037660-24-000004	101	Davidovs Venture Capital, LP - D1	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuers' GP	2024-12-31
0001720453-24-000004	101	PT Financial Companies LLC	/s/ Jennifer Docherty	Jennifer Docherty	General Counsel	2024-12-31
0002044738-24-000002	101	AU-1105 Fund I, a series of Paperjet Ventures, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002047936-24-000003	101	Neuberger Berman Insurance Fund IX Series Interests of the SALI Multi-Series Fund, L.P.	/s/ Cameron Vail	Cameron Vail	Managing Director of the General Partner	2024-12-31
0001836872-24-000003	101	PT Financial Holdings, Inc.	/s/ Jennifer Docherty	Jennifer Docherty	General Counsel	2024-12-31
0001874950-24-000001	101	Caju Ltd.	/s/Eduardo Braz del Giglio	Eduardo Braz del Giglio	Director	2024-12-31
0001934832-24-000002	101	LGF HONEST CHARTER, L.P.	/s/ Lachy Groom	Lachy Groom	Managing Director of the General Partner of the Issuer	2024-12-31
0002044558-24-000001	101	BO-1105 Fund IV, a series of AngelList-Forefront Venture Partners-Funds, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050110-24-000001	101	HA-0624 Fund I, a series of Andrew Tan Investments, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050247-24-000001	101	HA-1118 Fund IV, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050073-24-000002	101	Rubix III, a series of Jay Desai Holdings II, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050521-24-000001	101	Yevai Inc.	Yevgen Reztsov YR	Yevgen Reztsov	Chief Technology Officer	2024-12-31
0002049503-24-000003	101	Parkside Flats Holdings, LLC	Nicholas G. Moore	Nicholas G. Moore	By POA from Meredith Schneider, Manager	2024-12-31
0002049576-24-000001	101	AB-PCI MMDL Fund IV, S.C.Sp.	/s/ Shalin Sheth	Shalin Sheth	Officer of the GP	2024-12-31
0002049576-24-000001	102	AB-PCI MMDL BYOT Feeder Fund IV, S.C.Sp.	/s/ Shalin Sheth	Shalin Sheth	Officer of the GP	2024-12-31
0001707251-24-000001	101	Odyssey Energy Solutions, Inc.	/s/ Emily McAteer	Emily McAteer	Chief Executive Officer	2024-12-31
0002050300-24-000001	101	FABTEK INVESTMENTS LLC	JAMES MATTHEW BODNAR	JAMES MATTHEW BODNAR	MANAGING MEMBER	2024-12-31
0000912282-24-000923	101	Americas Gold & Silver Corp	/s/ Peter McRae	Peter McRae	Senior Vice President, Corporate Affairs & CLO	2024-12-31
0002034847-24-000002	101	BO-0807 Fund II, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050313-24-000001	101	Mana Ventures RE LLC	Theodore Lyons	Theodore Lyons	General Partner	2024-12-31
0001999188-24-000001	101	Buji Brown Butter. LLC	Lisa Herlinger	Lisa Herlinger	Manager	2024-12-31
0001682360-24-000003	101	CEDAR STREET EMERGING MARKETS VALUE FUND, L.P.	/s/ Jonathan Brodsky	Jonathan Brodsky	Manager of the General Partner of the Issuer	2024-12-31
0002044633-24-000001	101	Lakeshore Ventures Fund 5, LLC	Hilary Ncala	Hilary Ncala	Senior VP, Alumni Funds of Issuers Sole Manager	2024-12-31
0001898671-24-000002	101	Satori Thematic Partners, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0001693606-24-000001	101	CEDAR STREET INTERNATIONAL SMALL CAP FUND L.P.	/s/ Jonathan Brodsky	Jonathan Brodsky	Manager of the General Partner of the Issuer	2024-12-31
0002050420-24-000001	101	JLAM REP REIT, LLC	Douglas A. Motley	Douglas A. Motley	Authorized Representative	2024-12-31
0001789804-24-000002	101	Satori Co-Investment Partners, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0001985209-24-000001	101	ASF VIII Sidecar, L.P.	MICHAEL THORNE	MICHAEL THORNE	CHIEF LEGAL OFFICER	2024-12-31
0001985209-24-000001	102	ASF VIII Sidecar (Cayman), L.P.	MICHAEL THORNE	MICHAEL THORNE	CHIEF LEGAL OFFICER	2024-12-31
0001900829-24-000002	101	Satori Co-Investment Partners II, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0001759133-24-000002	101	bioProtonics, Inc.	/s/ Forrest Fleming	Forrest Fleming	Chief Executive Officer	2024-12-31
0002046317-24-000001	101	Stonepeak Core Fund - N (Side Car) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2024-12-31
0001989381-24-000001	101	Satori Neuro Co-Invest LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0002049350-24-000001	101	BARRYS PEP CO-INVEST, LP	/S/ AUSTIN CADE	AUSTIN CADE	CFO OF THE GP OF THE GP OF THE ISSUER	2024-12-31
0001920978-24-000001	101	Satori Environmental Partners, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0002050421-24-000001	101	Palmer Logistics (MIDWEST 3) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002050433-24-000001	101	Palmer Logistics (MIDWEST 2) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0001679721-24-000001	101	Satori Capital III, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0002050447-24-000001	101	Leonie Logistics (DC) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0001963602-24-000001	101	THOMA BRAVO EUROPE FUND, L.P.	/S/ LEE M. MITCHELL	LEE M. MITCHELL	MP OF THE MANAGING MMBR OF THE GP OF THE GP OF THE ISSUER	2024-12-31
0002050457-24-000001	101	Jubilee Logistics (Sunbelt 3) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002050393-24-000001	101	Plane OSS LLC	/s/ Joseph Jacks	Joseph Jacks	Managing Member of the Managing Member	2024-12-31
0002050459-24-000001	101	Jubilee Logistics (Sunbelt 1) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002050481-24-000001	101	Crimson Hawk Fund I LP	/s/ Christopher Liong	Christopher Liong	Managing Member of the General Partner	2024-12-23
0001548214-24-000002	101	Satori Alpha, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0002050462-24-000001	101	Finlayson Logistics Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0001634574-24-000002	101	Satori Alpha II, LP	/s/ Willie Houston, III	Willie Houston, III	Chief Compliance Officer	2024-12-31
0002049503-24-000002	101	1300 Patricia LLC	Nicholas G. Moore	Nicholas G. Moore	By POA from Devin Elder, Manager	2024-12-31
0002050464-24-000001	101	Dawson Logistics Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0001501320-24-000002	101	Satori Capital Strategic Opportunities, LP	/s/ Willie Houston III	Willie Houston III	Chief Compliance Officer	2024-12-31
0002049129-24-000001	101	OLYSC1, L.P.	/S/ ROBERT S. MORRIS	ROBERT S. MORRIS	MANAGING MEMBER OF THE GP OF THE ISSUER	2024-12-31
0002049488-24-000001	101	Pinnacle Trilogy BTR OZ Fund II, LP	/S/ Leo Backer	Leo Backer	Co-Manager of a Co-Managing Member of the GP of the Issuer.	2024-12-31
0002050461-24-000001	101	Canterbury Logistics (MSB 3) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002032327-24-000001	101	Amptiv Biosciences, Inc.	/s/ Jonathan Bell	Jonathan Bell	President	2024-12-31
0002050460-24-000001	101	Canterbury Logistics (MSB 2) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002050437-24-000001	101	Cairnhill Logistics (ESB) Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002050142-24-000001	101	Intellectus Ventures, LLC, Series 12	David J. La Placa	David J. La Placa	Managing Member of the Series Manager	2024-12-31
0002050441-24-000001	101	Anson Logistics Assets LLC	Richard Prokup	Richard Prokup	Director	2024-12-31
0002050024-24-000001	101	Northbrook at Reeb Lane, LLC	Priya Merchant	Priya Merchant	Manager of Offeror's Manager, Northbrook Partners LLC	2024-12-31
0001881845-24-000001	101	Gymble, Inc.	/s/ Benjamin T. Jacob	Benjamin T. Jacob	Attorney-In-Fact	2024-12-31
0002050210-24-000001	101	Artificial Generalized Intelligence Solutions, Inc.	/s/ Benjamin J. McCallister	Benjamin J. McCallister	President	2024-12-30
0002049990-24-000002	101	ASF IX Infrastructure Private Investors Offshore SICAV-RAIF S.C.Sp.	/s/Taskin Rahman	Taskin Rahman	Executive Director of Administrator of Issuer	2024-12-31
0001715181-24-000002	101	Paulson Capital Holding Company, LLC	Malcolm Winks	Malcolm Winks	President/CFO	2024-12-31
0001693928-24-000002	101	Alluvial Fund LP	David Waters	David Waters	President	2024-12-31
0002045272-24-000004	101	Small Step, Inc.	Michael Meaney	Michael Meaney	CEO	2024-12-31
0002050339-24-000001	101	ERA Investors Fund 9, LLC	/S/ Jonathan Axelrod	Jonathan Axelrod	MANAGING MEMBER OF THE MANAGING MEMBER OF THE ISSUER	2024-12-23
0002031522-24-000010	101	NexPoint Small Bay II DST	/s/Brian Mitts	Brian Mitts	Authorized Signatory of the Issuer	2024-12-31
0002050426-24-000001	101	OurCrowd (Investment in Ayar) L.P.	Caleb Chill	Caleb Chill	Chief Compliance Officer	2024-12-31
0002049747-24-000001	101	AVSF - XEnergy 2024, LLC	Hilary Ncala	Hilary Ncala	Senior VP, Alumni Funds of Issuers Sole Manager	2024-12-31
0002027690-24-000002	104	AUA Private Equity Family Investors III, LLC	/s/ Andrew Unanue	Andrew Unanue	Manager of the Managing Member	2024-12-31
0002027690-24-000002	103	AUA Private Equity Investors III, LLC	/s/ Andrew Unanue	Andrew Unanue	Manager of the Managing Member	2024-12-31
0002027690-24-000002	102	AUA Private Equity Parallel Fund III, LP	/s/ Andrew Unanue	Andrew Unanue	Manager of the sole member of the Top GP	2024-12-31
0002027690-24-000002	101	AUA Private Equity Fund III, LP	/s/ Andrew Unanue	Andrew Unanue	Manager of the sole member of the Top GP	2024-12-31
0002049503-24-000001	101	1st SA Capital Venture LLC	Nicholas G. Moore	Nicholas G. Moore	By POA from Kartikkumar Patel, Manager	2024-12-31
0002036524-24-000001	101	EquityZen Growth Technology Fund LLC - Series 1971	Phil Haslett	Phil Haslett	Manager Representative of Issuer's Manager	2024-12-31
0002049990-24-000001	101	ASF IX Infrastructure Private Investors, LLC	/s/Taskin Rahman	Taskin Rahman	Executive Director of Administrator of Issuer	2024-12-31
0001576079-24-000001	101	AM Global Core Fund, LLC	W. Ragnar Gearhart	W. Ragnar Gearhart	Chief Compliance Officer of Managing Mem	2024-12-31
0002050449-24-000001	101	GAMBIT CAPITAL FUND LIMITED PARTNERSHIP	Ben Schaefer	Ben Schaefer	Founder of the Issuer's General Partner	2024-12-31
0001948123-24-000006	101	Forever 8 Fund, LLC	Paul Vassilakos	Paul Vassilakos	Partner	2024-12-31
0002048552-24-000001	101	REVNA BIOSCIENCES, INC.	Derrick Edem Akpalu, Phd MSCR	Derrick Edem Akpalu, Phd MSCR	Chief Executive Director	2024-12-31
0001948123-24-000005	101	Forever 8 Fund, LLC	Paul Vassilakos	Paul Vassilakos	Partner	2024-12-31
0001921177-24-000003	101	Mendoza Ventures Growth Inclusion Fund I, LP	Adrian Mendoza	Adrian Mendoza	Managing Member of the General Partner	2024-12-31
0001825295-24-000006	101	Remote Care Partners, Inc.	Donald C Davis	Donald C Davis	Secretary	2024-12-30
0001948123-24-000004	101	Forever 8 Fund, LLC	Paul Vassilakos	Paul Vassilakos	Partner	2024-12-31
0001948123-24-000003	101	Forever 8 Fund, LLC	Paul Vassilakos	Paul Vassilakos	Partner	2024-12-31
0001212214-24-000001	101	LION INDUSTRIAL TRUST	/s/ Bohdy Hedgcock	Bohdy Hedgcock	Authorized Signatory	2024-12-31
0002048771-24-000002	101	Mindscale AI Inc.	Seymour Duncker	Seymour Duncker	Chief Executive Officer	2024-12-31
0001921171-24-000002	101	Mendoza Ventures Growth Fund III, LP	Adrian mendoza	Adrian Mendoza	Managing Member of the General Partner	2024-12-31
0001948123-24-000002	101	Forever 8 Fund, LLC	Paul Vassilakos	Paul Vassilakos	Partner	2024-12-31
0002050476-24-000001	101	CrunchAtlas, Inc.	Benjamin Faberlle	Benjamin Faberlle	President	2024-12-31
0001948123-24-000001	101	Forever 8 Fund, LLC	Paul Vassilakos	Paul Vassilakos	Partner	2024-12-31
0002013722-24-000002	101	Washington Abstract, Inc.	/s/Patricio Utz	Patricio Utz	CEO & Director	2024-12-31
0001989817-24-000063	101	HPS Corporate Capital Solutions Fund	/s/ Tyler Thorn	Tyler Thorn	Secretary	2024-12-31
0001997304-24-000003	101	Altfund Options Strategy LP	Edwin Gillen	Edwin Gillen	Chief Executive Officer	2024-12-31
0002045670-24-000001	101	ARCTOS KEYSTONE STAR CIV, LP	/S/ IAN H. CHARLES	IAN H. CHARLES	MANAGING PARTNER OF THE GP OF THE GP OF THE ISSUER	2024-12-31
0002048556-24-000001	101	Gaingels Databricks 2024 LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2024-12-31
0002050488-24-000001	101	North Point Investment Fund, L.P.	David Zatlukal	David Zatlukal	Principal of the Investment Manager	2024-12-31
0002047473-24-000001	101	GGP SPV-1, LLC - Series 2	/s/ John Dowd	John Dowd	Manager of Issuer's Manager	2024-12-31
