ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0002050565-24-000001	YES	101	0002050565	CI V Co-invest Vehicle A SCSp	16, RUE EUGENE RUPPERT		LUXEMBOURG	N4	LUXEMBOURG	L-2453	352264491	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002048696-24-000001	YES	101	0002048696	8VC ADSG SPV, LLC	907 SOUTH CONGRESS AVENUE		AUSTIN	TX	TEXAS	78704	512-370-2276	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002018994-24-000002	YES	101	0002018994	Fund LV, a series of SCVC Advisors, LP	1000 3rd Street	Unit 512	San Francisco	CA	CALIFORNIA	94158	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001984473-24-000001	YES	101	0001984473	Riverdale REIT Holdings LLC	250 VESEY STREET	15TH FLOOR	NEW YORK	NY	NEW YORK	10281-1023	(212) 978-1643	DELAWARE							Limited Liability Company		withinFiveYears	2023
0002050564-24-000001	YES	101	0002050564	Copenhagen Infrastructure NMSIC Co-invest Vehicle I SCSp	16, RUE EUGENE RUPPERT		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-2453	4570705151	LUXEMBOURG							Limited Partnership		withinFiveYears	2024
0002049096-24-000001	YES	101	0002049096	Davidson Craven - NCIP, LLC	111-H REYNOLDA VILLAGE		WINSTON SALEM	NC	NORTH CAROLINA	27106	336-930-7756	NORTH CAROLINA							Limited Liability Company		withinFiveYears	2024
0000950142-24-003046	YES	101	0001494181	Blackstone Secured Trust Ltd	345 PARK AVENUE	31ST FLOOR	NEW YORK	NY	NEW YORK	10154	212-503-2100	CAYMAN ISLANDS				Blackstone / GSO Secured Trust Ltd			Other	Cayman Islands exempted company	overFiveYears	
0002048371-24-000001	YES	101	0002048371	North Carolina Industrial Partners LLC	111-H REYNOLDA VILLAGE		WINSTON SALEM	NC	NORTH CAROLINA	27106	336-930-7756	NORTH CAROLINA							Limited Liability Company		withinFiveYears	2024
0000950142-24-003045	YES	101	0001498635	Blackstone Secured Trust Feeder LP	345 PARK AVENUE	31ST  FLOOR	NEW YORK	NY	NEW YORK	10154	(212) 503-2100	DELAWARE				Blackstone / GSO Secured Trust Feeder LP	Blackstone/GSO Secured Trust Feeder LP		Limited Partnership		overFiveYears	
0002049165-24-000002	YES	101	0002049834	EA E3 Holdings, LP	1557 W INNOVATION WAY, STE 175		LEHI	UT	UTAH	84043	801-231-0027	DELAWARE							Limited Partnership		withinFiveYears	2024
0002026508-24-000002	YES	101	0002026508	Samba, a series of Rhone VC, LP	16398 Sanborn Road		Saratoga	CA	CALIFORNIA	95070	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001899779-24-000002	YES	101	0001899779	Battle Financial, Inc.	2 ARBOR ROAD		ST. LOUIS	MO	MISSOURI	63132	(970) 200-2907	DELAWARE							Corporation		withinFiveYears	2021
0002050528-24-000001	YES	101	0002050528	Ram Realty VII REIT	4801 PGA BOULEVARD		PALM BEACH	FL	FLORIDA	33418	561-630-6110	MARYLAND							Business Trust		withinFiveYears	2024
0002044100-24-000001	YES	101	0002044100	Americanna Wellness, Inc.	1788 MIDWAY LANE		BELLINGHAM	WA	WASHINGTON	98226	206-303-0176	DELAWARE							Corporation		withinFiveYears	2022
0002050536-24-000001	YES	101	0001895547	MDCP Co-Investors (Tango), L.P.	C/O MADISON DEARBORN PARTNERS	70 WEST MADISON STREET, SUITE 4600	CHICAGO	IL	ILLINOIS	60602	(312) 895-1000	DELAWARE							Limited Partnership		withinFiveYears	2021
0002046500-24-000002	YES	101	0002046500	Gecko 2024, a series of Palumni VC MP, LP	88 SW 7th St.	Apt 904	Miami	FL	FLORIDA	33130	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001376474-24-000751	YES	101	0002033222	SPIDR INC.	8010 RITTER DRIVE		MT. JULIET	TN	TENNESSEE	37122	6152605171	TENNESSEE							Corporation		withinFiveYears	2024
0002048150-24-000004	YES	101	0002038435	AUM-AZ-0822 Fund I, a series of AngelList Funds 2024, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE	AZ-0822 Fund II, a series of AUM VC Fund, LP						Limited Partnership		withinFiveYears	2024
0002036423-24-000001	YES	101	0002036423	Summit Medical Transport, Inc.	8330 E QUINCY AVE, APT D206		DENVER	CO	COLORADO	80237	(717) 434-4090	DELAWARE							Corporation		withinFiveYears	2024
0002017506-24-000002	YES	101	0002017506	General Innovation Capital Partners Fund I, L.P.	3480 MAIN HIGHWAY	SUITE 403	MIAMI	FL	FLORIDA	33133	917-816-1744	DELAWARE							Limited Partnership		withinFiveYears	2024
0002048150-24-000003	YES	101	0002048150	OS-1025 Fund I, a series of Scrub Capital, LP	119 S MAIN ST STE 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE				OS-1025 Fund I, a series of Scrub Venture Capital, LP			Limited Partnership		withinFiveYears	2024
0002044369-24-000001	YES	101	0002044369	Accel India VIII L.P.	500 UNIVERSITY AVENUE		PALO ALTO	CA	CALIFORNIA	94301	(650) 614-4800	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050229-24-000001	YES	101	0002050229	Blackstone Infrastructure Strategies (TE) L.P.	345 PARK AVENUE		NEW YORK	NY	NEW YORK	10154	212-583-5000	DELAWARE							Limited Partnership		withinFiveYears	2024
0001479419-24-000002	YES	101	0001479419	KALA BIO, Inc.	1167 MASSACHUSETTS AVENUE		ARLINGTON	MA	MASSACHUSETTS	02476	781-996-5252	DELAWARE				Kala Pharmaceuticals, Inc.			Corporation		overFiveYears	
0001958062-24-000001	YES	101	0001958062	Alta Point Capital Fund I Offshore, LP	1466 DANA AVENUE		PALO ALTO	CA	CALIFORNIA	94301	6506201690	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2022
0002049944-24-000001	YES	101	0002049944	8os Inc.	169 MADISON AVE	SUITE 11052	NEW YORK	NY	NEW YORK	10016	332-334-0202	DELAWARE							Corporation		withinFiveYears	2022
0002030772-24-000004	YES	101	0002030772	Blackstone Infrastructure Strategies L.P.	345 PARK AVENUE, 16TH FLOOR		NEW YORK	NY	NEW YORK	10154	212-583-5000	DELAWARE							Limited Partnership		withinFiveYears	2024
0000950142-24-003037	YES	101	0002046249	Apollo S3 Private Markets IDF, LP	9 WEST 57TH STREET	42ND FLOOR	NEW YORK	NY	NEW YORK	10019	212-515-3200	DELAWARE							Limited Partnership		withinFiveYears	2024
0002049165-24-000001	YES	101	0002049165	Balerion Space Ventures Fund II (Onshore Parallel), L.P.	3317 DREXEL DRIVE		DALLAS	TX	TEXAS	75205	(312) 802-5639	DELAWARE							Limited Partnership		withinFiveYears	2024
0002034331-24-000003	YES	101	0002034331	Links Car Wash Opportunity Fund, LLC	4064 COLONY ROAD	SUITE 315	CHARLOTTE	NC	NORTH CAROLINA	28211	(704) 998-8646	DELAWARE	Go Wash It Opportunity Fund, LLC						Limited Liability Company		withinFiveYears	2024
0001493152-24-052701	YES	101	0001817760	SmartKem, Inc.	MANCHESTER TECHNOLOGY CTR, HEXAGON TOWER	DELAUNAYS RD., BLACKLEY	MANCHESTER	X0	UNITED KINGDOM	M9 8GQ	011-44-161-721-1514	DELAWARE				Parasol Investments Corp			Corporation		withinFiveYears	2020
0002049947-24-000002	YES	101	0002049947	Topo Therapeutics, Inc.	ONE KENDALL SQUARE	BUILDING 1400, SUITE 14-101	CAMBRIDGE	MA	MASSACHUSETTS	02139	857-331-6825	DELAWARE							Corporation		withinFiveYears	2024
0001958057-24-000002	YES	101	0001958057	Alta Point Capital Fund I, LP	1466 DANA AVENUE		PALO ALTO	CA	CALIFORNIA	94301	6506201690	DELAWARE							Limited Partnership		withinFiveYears	2022
0002004441-24-000001	YES	101	0002004441	AdvisorFinder, LLC	5215 COLLEY AVENUE	SUITE 134	NORFOLK	VA	VIRGINIA	23508	757-705-0515	VIRGINIA							Limited Liability Company		withinFiveYears	2022
0001564079-24-000004	YES	101	0001564079	Cytrellis Biosystems, Inc.	34 Commerce Way		Woburn	MA	MASSACHUSETTS	01801	857-254-1725	DELAWARE							Corporation		overFiveYears	
0002018562-24-000036	YES	101	0002018562	USEDC 2024 B Drilling Fund LP	1521 NORTH COOPER STREET	SUITE 400	ARLINGTON	TX	TEXAS	76011	16823052868	DELAWARE							Limited Partnership		withinFiveYears	2023
0002045788-24-000001	YES	101	0002045788	KA-1118 Fund III, a series of Empath Ventures, LP	119 South Main St, Suite 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001315863-24-000895	YES	101	0002019771	Tacora Capital II, LP	2505 PECOS STREET		AUSTIN	TX	TEXAS	78703	310.741.1070	DELAWARE							Limited Partnership		withinFiveYears	2024
0002049512-24-000001	YES	101	0002049512	Balerion Space Ventures Fund II, L.P.	3317 DREXEL DRIVE		DALLAS	TX	TEXAS	75205	(312) 802-5639	DELAWARE							Limited Partnership		withinFiveYears	2024
0002006976-24-000001	YES	101	0002006976	OT-0304 Fund I, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002005473-24-000001	YES	101	0002005473	RANDOLPH STREET INVESTMENT PARTNERS, L.P. - 2024 DIF	333 West Wolf Point Plaza		CHICAGO	IL	ILLINOIS	60654	(312) 862-6208	DELAWARE							Limited Partnership		overFiveYears	
0002045676-24-000002	YES	101	0002045676	Rerail-HY-1017 Fund I, a series of AngelList Funds 2024, LP	119 South Main St, Suite 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002043638-24-000002	YES	101	0002043638	WO-1029 Fund III, a series of Nelstone Ventures, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050450-24-000001	YES	101	0002050450	Effortless Trading Inc	10 KENT CT		WILLOWBROOK	IL	ILLINOIS	60527	6306246627	DELAWARE							Corporation		withinFiveYears	2024
0002043145-24-000002	YES	101	0002043145	TY-1029 Fund II, a series of AX-RN-Funds, LP	119 SOUTH MAIN STREET, SUITE 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002047936-24-000005	YES	101	0002047934	Brookfield Real Estate Insurance Dedicated Fund Series Interests of the SALI Multi-Series Fund, L.P.	6850 AUSTIN CENTER BLVD SUITE	#300	AUSTIN	TX	TEXAS	78731	5127357254	DELAWARE							Limited Partnership		withinFiveYears	2023
0002050170-24-000001	YES	101	0002050170	HGI Opportunity Fund XIX, LP	999 WATERSIDE DRIVE	SUITE 2300	NORFOLK	VA	VIRGINIA	23510	7576400800	VIRGINIA							Limited Partnership		withinFiveYears	2024
0002050094-24-000001	YES	101	0002050094	Globespan SPV G, L.P.	10201 Collins Avenue	Unit 202	Bal Harbour	FL	FLORIDA	33154	617-305-2300	DELAWARE							Limited Partnership		withinFiveYears	2024
0001954462-24-000001	YES	101	0001954462	ONCAP V LP	161 BAY STREET, 49TH FLOOR		TORONTO	A6	ONTARIO, CANADA	M5J 2S1	(416) 214-4300	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2022
0002018562-24-000035	YES	101	0002018562	USEDC 2024 B Drilling Fund LP	1521 NORTH COOPER STREET	SUITE 400	ARLINGTON	TX	TEXAS	76011	16823052868	DELAWARE							Limited Partnership		withinFiveYears	2023
0001880343-24-000003	YES	101	0001880343	Fresh Vine Wine, Inc.	225 South 6th Street	Suite 2900	Minneapolis	MN	MINNESOTA	55402	855-766-9463	NEVADA				FRESH GRAPES, LLC			Corporation		overFiveYears	
0002006769-24-000002	YES	101	0002006769	BGA Horizon Fund, LLC - Stone Ridge Series	260 FRANKLIN ST	STE 1510	BOSTON	MA	MASSACHUSETTS	02110	6179483800	DELAWARE							Limited Liability Company		withinFiveYears	2024
0002050510-24-000001	YES	101	0002050510	Fractal Rocky Mountains Capital, LP	65 E INDIA ROW 11E		BOSTON	MA	MASSACHUSETTS	02110	617-840-6501	DELAWARE							Limited Partnership		withinFiveYears	2024
0002041251-24-000001	YES	101	0002041251	DD Cloverdale, LLC	1 INDEPENDENCE PLZ	STE 616	BIRMINGHAM	AL	ALABAMA	35209	6785174053	ALABAMA							Limited Liability Company		withinFiveYears	2024
0002050247-24-000002	YES	101	0002050247	HA-1118 Fund IV, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002049342-24-000001	YES	101	0002049342	WI Parkview Townhomes LLC	720 MAIN ST.		KANSAS CITY	MO	MISSOURI	64105	816-368-2011	KANSAS							Limited Liability Company		withinFiveYears	2024
0001223895-24-000002	YES	101	0001223895	B R A S S PARTNERSHIP IN COMMENDAM	5328 DIDESSE DRIVE		BATON ROUGE	LA	LOUISIANA	70808	225-766-1718	LOUISIANA	B R A S S PARTNERSHIP IN COMMENDAM			B R A S S  PARTNERSHIP IN COMMENDAM			Limited Partnership		overFiveYears	
0002050077-24-000001	YES	101	0002050077	Cynosure Partners III Offshore, LP	111 S MAIN STREET SUITE 2350		SALT LAKE CITY	UT	UTAH	84111	801-521-3100	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2024
0002050110-24-000002	YES	101	0002050110	HA-0624 Fund I, a series of Andrew Tan Investments, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050109-24-000001	YES	101	0002050109	MA-0321 Fund I, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050116-24-000002	YES	101	0002050116	CY-09181 Fund I, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001760157-24-000001	YES	101	0001760157	Francis Medical, Inc.	7351 KIRKWOOD LANE N	SUITE 130	MAPLE GROVE	MN	MINNESOTA	55369	763-951-0370	DELAWARE				NxPHASE Medical, Inc.			Corporation		overFiveYears	
0002026212-24-000003	YES	101	0002026212	Agile GXP Technologies, Inc.	209 UNIVERSITY AVENUE		PROVIDENCE	RI	RHODE ISLAND	02906	(401) 862-6833	DELAWARE							Corporation		withinFiveYears	2022
0002050113-24-000002	YES	101	0002050113	BO-1028 Fund I, a series of Riverside Ventures, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050112-24-000001	YES	101	0002050112	FI-1028 Fund II, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001875606-24-000002	YES	101	0001875606	Phoenix Tailings, Inc.	20 North Ave.		Burlington	MA	MASSACHUSETTS	01803	8607124237	DELAWARE	MVM Industrial, Inc.						Corporation		overFiveYears	
0001493152-24-052664	YES	101	0001879726	Sidus Space Inc.	150 N. SYKES CREEK PKWY	SUITE 200	MERRITT ISLAND	FL	FLORIDA	32953	321-613-5620	DELAWARE							Corporation		overFiveYears	
0002049481-24-000001	YES	101	0002049481	1920 MHC H, LLC	229 East 85th Street	Unit 1069	New York	NY	NEW YORK	10028	781-285-8606	NEW JERSEY							Limited Liability Company		withinFiveYears	2024
0002036232-24-000002	YES	101	0002036232	PI-0724 Fund I, a series of AX-WiEs-Funds-I, LP	119 SOUTH MAIN STREET, SUITE 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002047936-24-000004	YES	101	0002047926	Blue Owl Direct Lending Insurance Dedicated Fund Series Interests of the SALI Multi-Series Fund, L.P.	6850 AUSTIN CENTER BLVD SUITE #300		AUSTIN	TX	TEXAS	78731	5127357254	DELAWARE							Limited Partnership		withinFiveYears	2023
0001991599-24-000001	YES	101	0001991599	AB-0823 Fund I, a series of Middle Cove Funds, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2023
0002037558-24-000008	YES	101	0002037558	Kamal Ravikant Capital, LP - E1	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002037558-24-000008	NO	102	0002037561	Kamal Ravikant Capital QP, LP - E1	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001956491-24-000001	YES	101	0001956491	ZICO Rising, Inc.	12501 SEAL BEACH BLVD., SUITE 270		SEAL BEACH	CA	CALIFORNIA	90740	866-729-9426	DELAWARE							Corporation		withinFiveYears	2020
0002049472-24-000001	YES	101	0002049472	Navitas Capital Co-Invest III-A, L.P.	3975 LANDMARK STREET, SUITE 1200		CULVER CITY	CA	CALIFORNIA	90232	(310) 490-5626	DELAWARE							Limited Partnership		withinFiveYears	2024
0002044975-24-000001	YES	101	0002044975	GK-1107 Fund I, a series of Cinneamhain Ventures, LP	119 South Main St, Suite 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0000929638-24-004393	YES	101	0001739652	U.S. Cities Retail Fund LP	730 THIRD AVENUE	3RD FLOOR	NEW YORK	NY	NEW YORK	10017	(212) 916-5685	DELAWARE							Limited Partnership		overFiveYears	
0002050445-24-000001	YES	101	0002050445	Deposely, Inc.	500 108TH AVE NE	UNIT 1100	BELLEVUE	WA	WASHINGTON	98004	2069102809	DELAWARE							Corporation		withinFiveYears	2024
0002037660-24-000004	NO	102	0002037564	Davidovs Venture Capital, LP - D1 QP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002037660-24-000004	YES	101	0002037660	Davidovs Venture Capital, LP - D1	119 SOUTH MAIN STREET, SUITE 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001720453-24-000004	YES	101	0001720453	PT Financial Companies LLC	500 WEST MADISON, SUITE 450		CHICAGO	IL	ILLINOIS	60661	312-521-1130	DELAWARE				PT Financial Companies, LLC			Limited Liability Company		overFiveYears	
0002044738-24-000002	YES	101	0002044738	AU-1105 Fund I, a series of Paperjet Ventures, LP	119 South Main Street, Suite 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002047936-24-000003	YES	101	0002047925	Neuberger Berman Insurance Fund IX Series Interests of the SALI Multi-Series Fund, L.P.	6850 AUSTIN CENTER BLVD SUITE	#300	AUSTIN	TX	TEXAS	78731	5127357254	DELAWARE							Limited Partnership		withinFiveYears	2023
0001836872-24-000003	YES	101	0001836872	PT Financial Holdings, Inc.	500 WEST MADISON	SUITE 450	CHICAGO	IL	ILLINOIS	60661	312-521-1000	DELAWARE							Corporation		overFiveYears	
0001874950-24-000001	YES	101	0001874950	Caju Ltd.	FLOOR 4, WILLOW HOUSE, CRICKET SQUARE		GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9010	55-11-4118-3826	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2021
0001934832-24-000002	YES	101	0001934832	LGF HONEST CHARTER, L.P.	8605 SANTA MONICA BLVD #48490		WEST HOLLYWOOD	CA	CALIFORNIA	90069	415-234-3948	DELAWARE							Limited Partnership		withinFiveYears	2022
0002044558-24-000001	YES	101	0002044558	BO-1105 Fund IV, a series of AngelList-Forefront Venture Partners-Funds, LP	119 South Main Street, Suite 220		SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050110-24-000001	YES	101	0002050110	HA-0624 Fund I, a series of Andrew Tan Investments, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050247-24-000001	YES	101	0002050247	HA-1118 Fund IV, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050073-24-000002	YES	101	0002050073	Rubix III, a series of Jay Desai Holdings II, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050521-24-000001	YES	101	0002050521	Yevai Inc.	611 S DUPONT HWY	STE 102	DOVER	DE	DELAWARE	19901	3107073921	DELAWARE							Corporation		withinFiveYears	2023
0002049503-24-000003	YES	101	0002049482	Parkside Flats Holdings, LLC	320 S. IZARD STREET		LITTLE ROCK	AR	ARKANSAS	72201	832-236-6579	ARKANSAS							Limited Liability Company		withinFiveYears	2024
0002049576-24-000001	NO	102	0002049576	AB-PCI MMDL BYOT Feeder Fund IV, S.C.Sp.	2-4, RUE EUGENE RUPPERT		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-2453	629-213-6545	LUXEMBOURG							Other	Luxembourg special limited partnership	withinFiveYears	2024
0002049576-24-000001	YES	101	0002049546	AB-PCI MMDL Fund IV, S.C.Sp.	2-4, RUE EUGENE RUPPERT		GRAND DUCHY OF LUXEMBOURG	N4	LUXEMBOURG	L-2453	629-213-6545	LUXEMBOURG							Other	Luxembourg special limited partnership	withinFiveYears	2024
0001707251-24-000001	YES	101	0001707251	Odyssey Energy Solutions, Inc.	1519 PINE STREET	UNIT 1	BOULDER	CO	COLORADO	80302	978-505-9423	DELAWARE				Odyssey Energy Solutions			Corporation		overFiveYears	
0002050300-24-000001	YES	101	0002050300	FABTEK INVESTMENTS LLC	3212 WEST END AVENUE	SUITE 402	NASHVILLE	TN	TENNESSEE	37203	615-289-3992	TENNESSEE							Limited Liability Company		withinFiveYears	2024
0000912282-24-000923	YES	101	0001286973	Americas Gold & Silver Corp	145 KING ST. W.	SUITE 2870	TORONTO	A6	ONTARIO, CANADA	M5H 1J8	416-848-9503	CANADA (FEDERAL LEVEL)				Americas Silver Corp	SCORPIO MINING CORP		Corporation		overFiveYears	
0002034847-24-000002	YES	101	0002034847	BO-0807 Fund II, a series of Roll Up Vehicles, LP	119 SOUTH MAIN STREET	SUITE 220	SEATTLE	WA	WASHINGTON	98104	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0002050313-24-000001	YES	101	0002050313	Mana Ventures RE LLC	390 NE 191ST ST	STE 8603	MIAMI	FL	FLORIDA	33179	8022740222	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001999188-24-000001	YES	101	0001999188	Buji Brown Butter. LLC	5935 N. MONTANA AVE		PORTLAND	OR	OREGON	97217	503-805-8369	OREGON							Limited Liability Company		withinFiveYears	2023
