ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0002048371-24-000001	Commercial			Decline to Disclose		06b	false		2024-12-19		false	true									false		0		19250000	19250000	0		false		6	0		0			0			false
0000950142-24-003045	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-23-003073	2010-08-01		true	true				true					false		250000		Indefinite	161600000	Indefinite		false		34	0		0			0		A customary management fee will be paid to the general partner of the Issuer, in its capacity as the investment manager of Blackstone Secured Trust Ltd (as described in the Issuer's private placement memorandum).	false
0002049165-24-000002	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0			false
0002026508-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2024-12-26		false					true					false		5000		89500	89500	0		false		10	0		0			0		The agent of the general partner of the Issuer will receive a portion of a management fee as specified in the Issuer's partnership agreement.	false
0001899779-24-000002	Other Banking and Financial Services			Decline to Disclose		06c	true	0001899779-24-000001	2024-05-01		true		true								false		75000		14750000	6946500	7803500		false		65	69465	true	0			0			false
0002050528-24-000001	REITS and Finance			Decline to Disclose		06b, 3C, 3C.7	false		2024-12-16		false	true				true					false		1000		125000	123000	2000		false		123	18000		0			0			false
0002044100-24-000001	Other			Decline to Disclose		06b	false		2023-08-23		false	true									false		50000		5285000	5185000	100000		false		21	0		0			0			false
0002050536-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite	The general partner reserves the right to offer a greater or lesser amount of limited partner interests.	false		0	0		0			0	true		false
0002046500-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-18		false					true					false		895		369998	369998	0		false		63	0		0			0		The agent of the general partner of the Issuer will receive a portion of a management fee as specified in the Issuer's partnership agreement.vvv	false
0001376474-24-000751	Other Technology			No Revenues		06c	true	0002033222-24-000002	2024-09-06		false	true									false		1		3000000	1650000	1350000		false		4	0		0			0			false
0002048150-24-000004	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	true	0002038435-24-000002	2024-11-08		false					true					false		1049		498284	498284	0		false		10	0		0			22255	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002036423-24-000001	Other Health Care			Decline to Disclose		06b	false		2024-12-19		false	true		true	true				true	Simple Agreement for Future Equity (SAFE) and equity security to be issued upon conversion	false		5000		2000000	5000	1995000		false		1	0		0			10000	true		false
0002017506-24-000002	Pooled Investment Fund	Private Equity Fund	false	Not Applicable		06b, 3C, 3C.7	false			true	false					true					false		0		500000000	0	500000000		false		0	0		0			0			false
0002048150-24-000003	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	true	0002048150-24-000001	2024-12-17		false					true					false		1000		588000	588000	0		false		30	0		0			26600	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002044369-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Not Applicable		06b, 3C, 3C.7	false		2024-12-18		false					true					false		0		650000000	650000000	0		false		131	0		0			0			false
0002050229-24-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false			true	true					true					false		0		Indefinite	0	Indefinite		false		0	15100000	true	0		Estimate based on expected annual fundraise of the Issuer and Blackstone Infrastructure Strategies L.P. Excludes any amounts paid directly by investors as such amounts are unknown to the Issuer.	0			false
0001479419-24-000002	Biotechnology			Decline to Disclose		06b	false		2024-12-31		false	true									false		0		10749667	10749667	0		false		6	0		0			0			false
0001958062-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001958062-23-000001	2023-01-13		true	true				true					false		0		Indefinite	17250000	Indefinite		false		4	0		0			0		The Issuer's General Partner or an affiliate of the Issuer's General Partner is entitled to receive a management fee in accordance with the Issuer's governing documentation, as amended from time to time.	false
0002049944-24-000001	Other Technology			Decline to Disclose		04	false		2024-09-25		false	true									false		5000		3234998	3234998	0		false		22	0		0			0			false
0002030772-24-000004	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false			true	true					true					false		0		Indefinite	0	Indefinite		false		0	15100000	true	0		Estimate based on expected annual fundraise of the Issuer and Blackstone Infrastructure Strategies (TE) L.P. Excludes any amounts paid directly by investors as such amounts are unknown to the Issuer.	0			false
0000950142-24-003037	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false			true	true	true				true					false		1		Indefinite	0	Indefinite		false		0	0		0			0			false
0002049165-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-19		false	true				true					false		0		Indefinite	475000	Indefinite		false		4	0		0			0		The General Partner is entitled to a carried interest. The Management Company is entitled to a management fee. The carried interest and management fee are fully disclosed in the Issuer's confidential offering materials.	false
0002034331-24-000003	Commercial			Decline to Disclose		06c	true	0002034331-24-000001	2024-08-22		false	true									false		25000		75000000	65818426	9181574		false		415	5250000	true	0		The Company will pay no greater than 7.0% of the gross offering proceeds for the sale of units in placement fees and selling commissions.	2000000	true	The Company will pay to the Manager 4.0% of the gross proceeds of the Company's sale of units for organizational and offering expenses.	false
0001493152-24-052701	Other Technology			Decline to Disclose		06b	false		2024-12-20		false	true		true	true						false		0		7649988	7649988	0	Certain of the securities were issued in connection with a concurrent registered direct offering of common stock.	false		13	685499	true	0		Includes a cash fee received of $535,499, $150,000 (expense reimbursement) and warrants to purchase 127,499 shares of common stock.	0	true	Proceeds will be used for working capital and general corporate purposes, including the payment of salaries and other fees to those listed in Item 3.	false
0002049947-24-000002	Biotechnology			Decline to Disclose		06b	true	0002049947-24-000001	2024-12-17		true	true									false		0		95000000	10555558	84444442		false		4	0		0			0			false
0001958057-24-000002	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1	true	0001958062-23-000002	2023-01-20		true	true				true					false		0		Indefinite	28612449	Indefinite		false		40	0		0			0		The Issuer's General Partner or an affiliate of the Issuer's General Partner is entitled to receive a management fee in accordance with the Issuer's governing documentation, as amended from time to time.	false
0002004441-24-000001	Other Technology			Decline to Disclose		06b	false		2024-12-18		false	true									false		0		3250000	3250000	0	Represents investor's total subscription; such investor will invest $1,000,000 upon the initial closing and the remaining balance on the terms and conditions set forth in the purchase agreement.	false		1	0		0			235000	true		false
0001564079-24-000004	Other Health Care			Decline to Disclose		06b	false		2024-12-20		false	true			true						false		0		32132485	25132486	6999999		false		15	0		0			0			false
0002018562-24-000036	Oil and Gas			Decline to Disclose		06c	true	0002018562-24-000001	2024-12-17		false	true							true	Limited Partnership Interest	false		100000		250000000	105000	249895000		false		0	25000000	true	0		Dealer Manager Fee of 2%; Sales Commission up to 7%; Due Diligence Fee of 0.5%; and Marketing Expense Fee of 0.5%.	0			false
0002045788-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-23		false					true					false		15000		315000	315000	0		false		3	0		0			8000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0001315863-24-000895	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2024-12-20		true	true				true					false		0		Indefinite	268700000	Indefinite		false		28	0		0			0		An affiliate of the GP is entitled to certain carried interest distributions. The investment manager is entitled to a management fee. The terms of the carried interest and management fee are fully disclosed in the Issuer's confidential offering materials.	false
0002049512-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2024-12-19		false	true				true					false		0		Indefinite	19453720	Indefinite		false		25	0		0			0		The General Partner is entitled to a carried interest. The Management Company is entitled to a management fee. The carried interest and management fee are fully disclosed in the Issuer's confidential offering materials.	false
0002006976-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-23		false					true					false		1000		452000	452000	0		false		24	0		0			0			false
0002005473-24-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b	false			true	false	true				true					false		25000		Indefinite	0	Indefinite		false		0	0		0			0			false
0002045676-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-23		false					true					false		924713		924713	924713	0		false		1	0		0			11000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002043638-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-23		false					true					false		5000		930000	930000	0		false		26	0		0			7000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002050450-24-000001	Other Technology			No Revenues		06b	false		2024-12-17		false	true							true	The equity offered is via the Simple Agreement for Future Equity (SAFE) contract, which is a contractual right to future equity	false		5000		1500000	25000	1475000		false		1	0		0		No sales people or finders were used or are planning to be used	0			false
0002043145-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-23		false					true					false		1000		64500	64500	0		false		23	0		0			6450	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002047936-24-000005	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2023-01-01		true					true					false		10000000		Indefinite	175343129	Indefinite		false		1	219649	true	0			0			false
0002050170-24-000001	Other Real Estate			Decline to Disclose		06b	false		2024-12-09		false	true									false		1000		299107500	10000000	289107500		false		20	0		0			0			false
0002050094-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Not Applicable		06b, 3C, 3C.1, 3C.7	false		2024-12-26		false					true					false		0		Indefinite	35500000	Indefinite		false		2	0		0			0			false
0001954462-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001567619-23-007876	2022-12-21		true					true					false		0		Indefinite	1063764796	Indefinite		false		111	60000		0			0			false
0002018562-24-000035	Oil and Gas			Decline to Disclose		06c	true	0002018562-24-000001	2024-12-23		false	true							true	Limited Partnership Interest	false		100000		250000000	80645	249919355		false		0	25000000	true	0		Dealer Manager Fee of 2%; Sales Commission up to 7%; Due Diligence Fee of 0.5%; and Marketing Expense Fee of 0.5%.	0			false
0001880343-24-000003	Manufacturing			Decline to Disclose		06b	false		2024-03-27		false	true									true		0		5000000	5000000	0		false		38	214060	true	0		Oak Ridge received payment of a Sales Commission and a warrant to purchase 300,000 shares of Issuer's common stock.	0		The proceeds received from the offer and sale of shares are being used to cover transaction expenses related to the proposed business combination with Adifex, loan of up tp $3.5 million to Amaze Software, Inc., and for working capital purposes.	false
0002006769-24-000002	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0002006769-24-000001	2024-01-01		false					true					false		0		61915000	61915000	0		false		94	0		0			0		Battery Global Advisors, LLC is entitled to an administrative fee for its investment management services in accordance with the organizational documents of the Issuer.	false
0002050510-24-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2024-12-26		true					true					false		200000		Indefinite	3168000	Indefinite		false		2	0	true	0	true		0	true	Fractal Capital Management LLC receives customary investment management fees and Fractal Investors LLC receives customary incentive allocations as described in the Issuer's Confidential Private Placement Memorandum.	false
0002041251-24-000001	Commercial			Decline to Disclose		06b	false		2024-12-19		false	true									false		25000		3100000	2870000	230000		true	4	19	0		0			0	true		false
0002050247-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		84500	84500	0		false		10	0		0			0			false
0002049342-24-000001	Residential			Decline to Disclose		06b	false		2024-11-27		false	true					true				false		50000		5901962	5901962	0		false		18	0		0			463750		One-time acquisition fee paid to Worcester Investments, LLC on the purchase of the Property.	false
0001223895-24-000002	Other Health Care			Decline to Disclose		06b	false		2024-12-31		false	true									false		0		440000	55000	385000		false		1	0		0			0			false
0002050077-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2024-12-17		false	true				true					false		0		Indefinite	99500000	Indefinite		false		9	0		0			0		The Issuer's General Partner or an affiliate of the Issuer's General Partner is entitled to receive a management fee in accordance with the Issuer's governing documentation, as amended from time to time.	false
0002050110-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		611161	611161	0		false		84	0		0			10000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002050109-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		268499	268499	0		false		42	0		0			0			false
0002050116-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-19		false					true					false		2500		22500	22500	0		false		4	0		0			0			false
0001760157-24-000001	Other Health Care			Decline to Disclose		06b	false		2024-12-16		true	true									false		0		79999999	39999999	40000000		false		16	0		625000	true		0		Excludes standard compensation for officers and directors	false
0002026212-24-000003	Other Technology			Decline to Disclose		06b	true	0002026212-24-000001	2024-06-04		false		true		true						false		0		2000000	675000	1325000		false		4	0		0			0	true		false
0002050113-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-19		false					true					false		1000		96001	96001	0		false		22	0		0			9600	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002050112-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-19		false					true					false		15000		50000	50000	0		false		3	0		0			0			false
0001875606-24-000002	Other			Decline to Disclose		06b	false		2024-11-20		false	true									false		0		43777585	43777585	0	$17,478,698.46 of the Total Amount Sold was pursuant to the conversion of SAFEs.	false		48	0		0			0			false
0001493152-24-052664	Telecommunications			Decline to Disclose		06b	false		2024-12-17		false	true		true	true						false		0		14117176	14117176	0		false		31	1129374		0		In connection with the offering, the placement agent received a cash fee equal to 8% of the aggregate purchase price paid by purchasers in the offering, plus warrants to purchase up to 340,995 shares of common stock, exercisable immediately at $2.25 per s	0			false
0002049481-24-000001	Commercial			No Revenues		06b	false		2024-12-16		false	true									false		25000		650000	0	650000		true	6	8	0		0			25200		Acquisition fee.	false
0002036232-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		760000	760000	0		false		53	0		0			10000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002047936-24-000004	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2023-01-01		true					true					false		1000000		Indefinite	94276837	Indefinite		false		4	31820	true	0			0			false
0001991599-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		2000		49000	49000	0		false		9	0		0			4020	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002037558-24-000008	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06c, 3C, 3C.1, 3C.7	true	0002037558-24-000007	2024-10-02		false					true					false		15000		90000	90000	0		false		5	0		0			296	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0001956491-24-000001	Other			Decline to Disclose		06b	false		2024-12-11		false	true									false		0		9500000	9115623	384377	Series B-1 Preferred Stock	false		30	0		0			0			false
0002049472-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false		2024-12-23		false					true					false		0		3000036	3000036	0		false		1	0		0			0		The General Partner (or an affiliated thereof) is entitled to a management fee.	false
0002044975-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-26		false					true					false		1000		83200	83200	0		false		23	0		0			8320	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0000929638-24-004393	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	3C.7, 06c, 3C	false		2022-03-31		true					true			true	Limited Partnership Interests	false		0		Indefinite	74500000	Indefinite	The total amount sold included the amount sold to both U.S. and non-U.S. investors.	false		4	0		0			0			false
0002050445-24-000001	Other Technology			No Revenues		06b	false		2024-12-16		false		true		true						false		5000		250000	153888	96112	As of the date of this filing, the issuer has received commitments totaling $173,888. Of this amount, $153,888 has been received, and the remaining $20,000 is expected to be received in accordance with the terms of the investment agreements.	false		11	0		0			0			false
0002037660-24-000004	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06c, 3C, 3C.1, 3C.7	true	0002037660-24-000003	2024-12-05		false					true					false		30000		60000	60000	0		false		2	0		0			0	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0001720453-24-000004	Other Banking and Financial Services			Decline to Disclose		06b	false		2024-12-16		false	true									false		97043		71631849	71631849	0		false		45	0		0			0			false
0002044738-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-24		false					true					false		1000		227750	227750	0		false		24	0		0			7000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002047936-24-000003	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	false		2023-01-01		true					true					false		100000000		Indefinite	214632155	Indefinite		false		1	51839	true	0			0			false
0001836872-24-000003	Other Banking and Financial Services			Decline to Disclose		06b	false		2024-12-16		false		true								false		222578		80000000	80000000	0		false		44	0		0			0			false
0001874950-24-000001	Other Technology			Decline to Disclose		06b	false		2024-12-19		false	true									false		0		4026481	4026481	0		false		3	0		0			2143257			false
0001934832-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2024-12-17		false					true					false		0		6000000	6000000	0		false		5	0		0			0			false
0002044558-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-24		false					true					false		1000		130539	130539	0		false		34	0		0			7000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002050110-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		611161	611161	0		false		84	0		0			10000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002050247-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		84500	84500	0		false		10	0		0			0			false
0002050073-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-23		false					true					false		723		210000	210000	0		false		8	0		0			7000	true	This amount represents the dollar value of a one-time fee and an annual fee paid to the fund administrator and/or its affiliates to cover administrative expenses for the life of the fund.	false
0002050521-24-000001	Computers			$1 - $1,000,000		06b	false		2024-04-12		true	true	true								false		50000		100000	100000	0		false		1	0		0			0			false
0002049503-24-000003	Commercial			Decline to Disclose		06b	false			true	false	true									false		50000		1300000	1300000	0		true	0	0	0		0			0			false
0002049576-24-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	false			true	true	true				true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The fund charges a management fee that is described in the fund's offering documents.	false
0001707251-24-000001	Other Energy			Decline to Disclose		06b	false		2024-12-19		false	true									false		0		15000000	11279608	3720392		false		10	0		0			0			false
0002050300-24-000001	Manufacturing			$5,000,001 - $25,000,000		06c	false		2024-12-19		false	true									false		100000		2525000	2525000	0		false		10	189375		0			0			false
